timestamp,Load Bus 12,BE0 1,BE0 2,BE0 3,BE0 4,BE0 0
2024-01-01 00:00,6.499,6.736,19.624,16.772,5.304,7.872
2024-01-01 01:00,12.221,12.611,38.826,31.59,10.011,14.766
2024-01-01 02:00,19.56,18.732,58.423,48.682,15.133,23.628
2024-01-01 03:00,24.547,24.801,70.907,59.788,18.863,28.747
2024-01-01 04:00,27.012,28.017,81.905,67.518,22.088,34.02
2024-01-01 05:00,32.049,32.843,100.803,84.017,25.998,38.455
2024-01-01 06:00,43.113,44.179,127.536,108.603,34.116,51.542
2024-01-01 07:00,58.414,58.168,168.562,147.019,45.94,68.206
2024-01-01 08:00,68.282,68.834,204.979,175.9,55.599,85.627
2024-01-01 09:00,75.536,73.393,231.703,184.434,60.231,90.852
2024-01-01 10:00,67.46,68.904,206.056,174.142,55.446,81.08
2024-01-01 11:00,54.265,54.132,163.497,135.457,44.311,64.51
2024-01-01 12:00,39.472,37.668,112.288,94.746,30.372,45.469
2024-01-01 13:00,26.287,26.59,79.76,66.481,21.165,32.046
2024-01-01 14:00,24.314,23.225,69.907,59.481,19.343,28.193
2024-01-01 15:00,32.618,32.874,94.252,78.398,25.632,37.865
2024-01-01 16:00,50.874,50.058,149.066,122.661,40.813,61.348
2024-01-01 17:00,72.28,71.636,214.415,184.471,57.727,85.639
2024-01-01 18:00,95.037,92.843,276.039,236.539,72.85,112.875
2024-01-01 19:00,99.689,100.725,306.142,247.321,81.125,120.359
2024-01-01 20:00,91.48,91.471,277.967,234.759,75.656,110.264
2024-01-01 21:00,73.513,73.977,216.999,184.554,59.557,87.243
2024-01-01 22:00,49.469,48.233,146.497,125.082,38.171,56.956
2024-01-01 23:00,27.095,28.619,82.836,67.768,22.245,33.055
2024-01-02 00:00,6.481,6.508,19.559,16.983,5.364,7.825
2024-01-02 01:00,12.345,12.509,37.776,31.336,10.146,14.683
2024-01-02 02:00,18.919,19.202,58.447,48.287,14.922,22.693
2024-01-02 03:00,24.563,23.991,73.824,59.904,18.949,29.762
2024-01-02 04:00,27.18,27.423,81.676,69.783,21.948,33.35
2024-01-02 05:00,33.083,33.763,101.593,83.75,25.976,40.163
2024-01-02 06:00,44.213,42.292,129.137,109.615,34.522,52.817
2024-01-02 07:00,58.216,58.525,168.19,143.78,45.124,70.424
2024-01-02 08:00,71.102,69.89,204.681,176.238,56.869,85.437
2024-01-02 09:00,75.716,74.723,229.986,188.223,58.81,88.708
2024-01-02 10:00,69.832,70.346,210.999,175.047,56.294,82.234
2024-01-02 11:00,54.56,54.169,169.296,140.638,43.001,67.121
2024-01-02 12:00,38.523,39.429,117.704,94.437,30.434,46.306
2024-01-02 13:00,25.997,25.814,77.307,67.619,20.605,31.096
2024-01-02 14:00,23.134,24.342,69.165,59.072,19.474,28.713
2024-01-02 15:00,31.932,32.948,93.976,80.02,25.69,38.89
2024-01-02 16:00,50.671,50.653,150.886,122.264,40.273,60.91
2024-01-02 17:00,71.597,72.558,225.368,180.024,56.974,89.729
2024-01-02 18:00,92.267,91.545,284.759,229.338,72.762,111.814
2024-01-02 19:00,102.899,101.651,296.689,255.164,81.813,122.966
2024-01-02 20:00,94.94,94.219,283.976,229.261,72.1,112.949
2024-01-02 21:00,71.021,73.93,219.989,179.841,59.098,86.279
2024-01-02 22:00,50.099,49.34,144.772,124.81,38.227,59.31
2024-01-02 23:00,27.979,27.764,85.307,70.073,22.682,33.744
2024-01-03 00:00,6.528,6.804,19.93,16.178,5.385,7.972
2024-01-03 01:00,12.484,12.561,37.556,30.698,10.183,15.134
2024-01-03 02:00,19.53,19.001,57.622,47.491,14.906,22.282
2024-01-03 03:00,24.004,23.784,73.004,59.932,19.854,28.26
2024-01-03 04:00,27.407,27.308,82.235,70.03,21.73,33.147
2024-01-03 05:00,32.042,32.026,100.381,81.934,26.978,40.333
2024-01-03 06:00,42.513,43.208,132.162,107.651,33.913,52.825
2024-01-03 07:00,57.532,58.616,174.182,141.635,46.86,68.304
2024-01-03 08:00,68.566,70.751,205.307,179.272,55.826,81.757
2024-01-03 09:00,74.717,77.157,224.831,192.604,59.033,91.922
2024-01-03 10:00,69.69,68.668,208.19,169.865,53.923,81.725
2024-01-03 11:00,55.314,56.629,166.196,141.184,43.78,64.188
2024-01-03 12:00,37.391,38.637,115.018,95.153,29.957,46.528
2024-01-03 13:00,26.912,26.112,79.48,64.3,20.548,31.269
2024-01-03 14:00,24.177,23.447,69.638,58.189,19.426,28.122
2024-01-03 15:00,31.278,31.422,98.276,78.183,25.289,38.931
2024-01-03 16:00,51.196,49.234,147.617,122.156,40.745,60.325
2024-01-03 17:00,73.828,74.547,220.18,181.42,59.617,89.147
2024-01-03 18:00,94.624,92.791,283.751,227.212,73.265,110.109
2024-01-03 19:00,102.797,98.635,294.35,251.345,81.243,117.411
2024-01-03 20:00,90.082,94.516,273.291,231.989,73.799,111.783
2024-01-03 21:00,70.648,73.612,217.996,181.741,56.925,88.618
